[2025-06-06T10:09:16.092+0000] {local_task_job_runner.py:120} INFO - ::group::Pre task execution logs
[2025-06-06T10:09:16.358+0000] {taskinstance.py:2076} INFO - Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: etl_landing.trigger_etl_ods_dag scheduled__2025-06-05T00:00:00+00:00 [queued]>
[2025-06-06T10:09:16.375+0000] {taskinstance.py:2076} INFO - Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: etl_landing.trigger_etl_ods_dag scheduled__2025-06-05T00:00:00+00:00 [queued]>
[2025-06-06T10:09:16.376+0000] {taskinstance.py:2306} INFO - Starting attempt 1 of 1
[2025-06-06T10:09:22.005+0000] {logging_mixin.py:188} WARNING - /home/airflow/.local/lib/python3.12/site-packages/azure/mgmt/datafactory/models/_models_py3.py:28978 SyntaxWarning: invalid escape sequence '\d'
[2025-06-06T10:09:22.007+0000] {logging_mixin.py:188} WARNING - /home/airflow/.local/lib/python3.12/site-packages/azure/mgmt/datafactory/models/_models_py3.py:29039 SyntaxWarning: invalid escape sequence '\d'
[2025-06-06T10:09:22.011+0000] {logging_mixin.py:188} WARNING - /home/airflow/.local/lib/python3.12/site-packages/azure/mgmt/datafactory/models/_models_py3.py:29393 SyntaxWarning: invalid escape sequence '\d'
[2025-06-06T10:09:22.014+0000] {logging_mixin.py:188} WARNING - /home/airflow/.local/lib/python3.12/site-packages/azure/mgmt/datafactory/models/_models_py3.py:29454 SyntaxWarning: invalid escape sequence '\d'
[2025-06-06T10:09:22.018+0000] {logging_mixin.py:188} WARNING - /home/airflow/.local/lib/python3.12/site-packages/azure/mgmt/datafactory/models/_models_py3.py:29742 SyntaxWarning: invalid escape sequence '\d'
[2025-06-06T10:09:22.020+0000] {logging_mixin.py:188} WARNING - /home/airflow/.local/lib/python3.12/site-packages/azure/mgmt/datafactory/models/_models_py3.py:29803 SyntaxWarning: invalid escape sequence '\d'
[2025-06-06T10:09:22.024+0000] {logging_mixin.py:188} WARNING - /home/airflow/.local/lib/python3.12/site-packages/azure/mgmt/datafactory/models/_models_py3.py:30348 SyntaxWarning: invalid escape sequence '\d'
[2025-06-06T10:09:22.026+0000] {logging_mixin.py:188} WARNING - /home/airflow/.local/lib/python3.12/site-packages/azure/mgmt/datafactory/models/_models_py3.py:30409 SyntaxWarning: invalid escape sequence '\d'
[2025-06-06T10:09:22.031+0000] {logging_mixin.py:188} WARNING - /home/airflow/.local/lib/python3.12/site-packages/azure/mgmt/datafactory/models/_models_py3.py:30838 SyntaxWarning: invalid escape sequence '\d'
[2025-06-06T10:09:22.033+0000] {logging_mixin.py:188} WARNING - /home/airflow/.local/lib/python3.12/site-packages/azure/mgmt/datafactory/models/_models_py3.py:30899 SyntaxWarning: invalid escape sequence '\d'
[2025-06-06T10:09:22.037+0000] {logging_mixin.py:188} WARNING - /home/airflow/.local/lib/python3.12/site-packages/azure/mgmt/datafactory/models/_models_py3.py:31252 SyntaxWarning: invalid escape sequence '\d'
[2025-06-06T10:09:22.039+0000] {logging_mixin.py:188} WARNING - /home/airflow/.local/lib/python3.12/site-packages/azure/mgmt/datafactory/models/_models_py3.py:31307 SyntaxWarning: invalid escape sequence '\d'
[2025-06-06T10:09:22.050+0000] {logging_mixin.py:188} WARNING - /home/airflow/.local/lib/python3.12/site-packages/azure/mgmt/datafactory/models/_models_py3.py:33041 SyntaxWarning: invalid escape sequence '\d'
[2025-06-06T10:09:22.052+0000] {logging_mixin.py:188} WARNING - /home/airflow/.local/lib/python3.12/site-packages/azure/mgmt/datafactory/models/_models_py3.py:33102 SyntaxWarning: invalid escape sequence '\d'
[2025-06-06T10:09:22.057+0000] {logging_mixin.py:188} WARNING - /home/airflow/.local/lib/python3.12/site-packages/azure/mgmt/datafactory/models/_models_py3.py:33619 SyntaxWarning: invalid escape sequence '\d'
[2025-06-06T10:09:22.059+0000] {logging_mixin.py:188} WARNING - /home/airflow/.local/lib/python3.12/site-packages/azure/mgmt/datafactory/models/_models_py3.py:33672 SyntaxWarning: invalid escape sequence '\d'
[2025-06-06T10:09:22.063+0000] {logging_mixin.py:188} WARNING - /home/airflow/.local/lib/python3.12/site-packages/azure/mgmt/datafactory/models/_models_py3.py:33947 SyntaxWarning: invalid escape sequence '\d'
[2025-06-06T10:09:22.065+0000] {logging_mixin.py:188} WARNING - /home/airflow/.local/lib/python3.12/site-packages/azure/mgmt/datafactory/models/_models_py3.py:34008 SyntaxWarning: invalid escape sequence '\d'
[2025-06-06T10:09:22.069+0000] {logging_mixin.py:188} WARNING - /home/airflow/.local/lib/python3.12/site-packages/azure/mgmt/datafactory/models/_models_py3.py:34457 SyntaxWarning: invalid escape sequence '\d'
[2025-06-06T10:09:22.072+0000] {logging_mixin.py:188} WARNING - /home/airflow/.local/lib/python3.12/site-packages/azure/mgmt/datafactory/models/_models_py3.py:34518 SyntaxWarning: invalid escape sequence '\d'
[2025-06-06T10:09:22.074+0000] {logging_mixin.py:188} WARNING - /home/airflow/.local/lib/python3.12/site-packages/azure/mgmt/datafactory/models/_models_py3.py:34683 SyntaxWarning: invalid escape sequence '\d'
[2025-06-06T10:09:22.077+0000] {logging_mixin.py:188} WARNING - /home/airflow/.local/lib/python3.12/site-packages/azure/mgmt/datafactory/models/_models_py3.py:34744 SyntaxWarning: invalid escape sequence '\d'
[2025-06-06T10:09:22.080+0000] {logging_mixin.py:188} WARNING - /home/airflow/.local/lib/python3.12/site-packages/azure/mgmt/datafactory/models/_models_py3.py:34785 SyntaxWarning: invalid escape sequence '\d'
[2025-06-06T10:09:22.083+0000] {logging_mixin.py:188} WARNING - /home/airflow/.local/lib/python3.12/site-packages/azure/mgmt/datafactory/models/_models_py3.py:34845 SyntaxWarning: invalid escape sequence '\d'
[2025-06-06T10:09:22.092+0000] {logging_mixin.py:188} WARNING - /home/airflow/.local/lib/python3.12/site-packages/azure/mgmt/datafactory/models/_models_py3.py:36454 SyntaxWarning: invalid escape sequence '\d'
[2025-06-06T10:09:22.095+0000] {logging_mixin.py:188} WARNING - /home/airflow/.local/lib/python3.12/site-packages/azure/mgmt/datafactory/models/_models_py3.py:36515 SyntaxWarning: invalid escape sequence '\d'
[2025-06-06T10:09:22.099+0000] {logging_mixin.py:188} WARNING - /home/airflow/.local/lib/python3.12/site-packages/azure/mgmt/datafactory/models/_models_py3.py:36830 SyntaxWarning: invalid escape sequence '\d'
[2025-06-06T10:09:22.101+0000] {logging_mixin.py:188} WARNING - /home/airflow/.local/lib/python3.12/site-packages/azure/mgmt/datafactory/models/_models_py3.py:36894 SyntaxWarning: invalid escape sequence '\d'
[2025-06-06T10:09:22.104+0000] {logging_mixin.py:188} WARNING - /home/airflow/.local/lib/python3.12/site-packages/azure/mgmt/datafactory/models/_models_py3.py:36937 SyntaxWarning: invalid escape sequence '\d'
[2025-06-06T10:09:22.106+0000] {logging_mixin.py:188} WARNING - /home/airflow/.local/lib/python3.12/site-packages/azure/mgmt/datafactory/models/_models_py3.py:36996 SyntaxWarning: invalid escape sequence '\d'
[2025-06-06T10:09:22.110+0000] {logging_mixin.py:188} WARNING - /home/airflow/.local/lib/python3.12/site-packages/azure/mgmt/datafactory/models/_models_py3.py:37525 SyntaxWarning: invalid escape sequence '\d'
[2025-06-06T10:09:22.113+0000] {logging_mixin.py:188} WARNING - /home/airflow/.local/lib/python3.12/site-packages/azure/mgmt/datafactory/models/_models_py3.py:37597 SyntaxWarning: invalid escape sequence '\d'
[2025-06-06T10:09:22.116+0000] {logging_mixin.py:188} WARNING - /home/airflow/.local/lib/python3.12/site-packages/azure/mgmt/datafactory/models/_models_py3.py:37647 SyntaxWarning: invalid escape sequence '\d'
[2025-06-06T10:09:22.118+0000] {logging_mixin.py:188} WARNING - /home/airflow/.local/lib/python3.12/site-packages/azure/mgmt/datafactory/models/_models_py3.py:37708 SyntaxWarning: invalid escape sequence '\d'
[2025-06-06T10:09:22.124+0000] {logging_mixin.py:188} WARNING - /home/airflow/.local/lib/python3.12/site-packages/azure/mgmt/datafactory/models/_models_py3.py:38653 SyntaxWarning: invalid escape sequence '\d'
[2025-06-06T10:09:22.126+0000] {logging_mixin.py:188} WARNING - /home/airflow/.local/lib/python3.12/site-packages/azure/mgmt/datafactory/models/_models_py3.py:38714 SyntaxWarning: invalid escape sequence '\d'
[2025-06-06T10:09:22.135+0000] {logging_mixin.py:188} WARNING - /home/airflow/.local/lib/python3.12/site-packages/azure/mgmt/datafactory/models/_models_py3.py:40144 SyntaxWarning: invalid escape sequence '\d'
[2025-06-06T10:09:22.137+0000] {logging_mixin.py:188} WARNING - /home/airflow/.local/lib/python3.12/site-packages/azure/mgmt/datafactory/models/_models_py3.py:40205 SyntaxWarning: invalid escape sequence '\d'
[2025-06-06T10:09:22.140+0000] {logging_mixin.py:188} WARNING - /home/airflow/.local/lib/python3.12/site-packages/azure/mgmt/datafactory/models/_models_py3.py:40579 SyntaxWarning: invalid escape sequence '\d'
[2025-06-06T10:09:22.143+0000] {logging_mixin.py:188} WARNING - /home/airflow/.local/lib/python3.12/site-packages/azure/mgmt/datafactory/models/_models_py3.py:40640 SyntaxWarning: invalid escape sequence '\d'
[2025-06-06T10:09:22.145+0000] {logging_mixin.py:188} WARNING - /home/airflow/.local/lib/python3.12/site-packages/azure/mgmt/datafactory/models/_models_py3.py:40831 SyntaxWarning: invalid escape sequence '\d'
[2025-06-06T10:09:22.148+0000] {logging_mixin.py:188} WARNING - /home/airflow/.local/lib/python3.12/site-packages/azure/mgmt/datafactory/models/_models_py3.py:40892 SyntaxWarning: invalid escape sequence '\d'
[2025-06-06T10:09:22.150+0000] {logging_mixin.py:188} WARNING - /home/airflow/.local/lib/python3.12/site-packages/azure/mgmt/datafactory/models/_models_py3.py:40933 SyntaxWarning: invalid escape sequence '\d'
[2025-06-06T10:09:22.152+0000] {logging_mixin.py:188} WARNING - /home/airflow/.local/lib/python3.12/site-packages/azure/mgmt/datafactory/models/_models_py3.py:40988 SyntaxWarning: invalid escape sequence '\d'
[2025-06-06T10:09:22.155+0000] {logging_mixin.py:188} WARNING - /home/airflow/.local/lib/python3.12/site-packages/azure/mgmt/datafactory/models/_models_py3.py:41331 SyntaxWarning: invalid escape sequence '\d'
[2025-06-06T10:09:22.158+0000] {logging_mixin.py:188} WARNING - /home/airflow/.local/lib/python3.12/site-packages/azure/mgmt/datafactory/models/_models_py3.py:41393 SyntaxWarning: invalid escape sequence '\d'
[2025-06-06T10:09:22.160+0000] {logging_mixin.py:188} WARNING - /home/airflow/.local/lib/python3.12/site-packages/azure/mgmt/datafactory/models/_models_py3.py:41435 SyntaxWarning: invalid escape sequence '\d'
[2025-06-06T10:09:22.162+0000] {logging_mixin.py:188} WARNING - /home/airflow/.local/lib/python3.12/site-packages/azure/mgmt/datafactory/models/_models_py3.py:41508 SyntaxWarning: invalid escape sequence '\d'
[2025-06-06T10:09:22.166+0000] {logging_mixin.py:188} WARNING - /home/airflow/.local/lib/python3.12/site-packages/azure/mgmt/datafactory/models/_models_py3.py:41892 SyntaxWarning: invalid escape sequence '\d'
[2025-06-06T10:09:22.168+0000] {logging_mixin.py:188} WARNING - /home/airflow/.local/lib/python3.12/site-packages/azure/mgmt/datafactory/models/_models_py3.py:41948 SyntaxWarning: invalid escape sequence '\d'
[2025-06-06T10:09:22.171+0000] {logging_mixin.py:188} WARNING - /home/airflow/.local/lib/python3.12/site-packages/azure/mgmt/datafactory/models/_models_py3.py:42179 SyntaxWarning: invalid escape sequence '\d'
[2025-06-06T10:09:22.173+0000] {logging_mixin.py:188} WARNING - /home/airflow/.local/lib/python3.12/site-packages/azure/mgmt/datafactory/models/_models_py3.py:42241 SyntaxWarning: invalid escape sequence '\d'
[2025-06-06T10:09:22.175+0000] {logging_mixin.py:188} WARNING - /home/airflow/.local/lib/python3.12/site-packages/azure/mgmt/datafactory/models/_models_py3.py:42283 SyntaxWarning: invalid escape sequence '\d'
[2025-06-06T10:09:22.185+0000] {logging_mixin.py:188} WARNING - /home/airflow/.local/lib/python3.12/site-packages/azure/mgmt/datafactory/models/_models_py3.py:42356 SyntaxWarning: invalid escape sequence '\d'
[2025-06-06T10:09:22.188+0000] {logging_mixin.py:188} WARNING - /home/airflow/.local/lib/python3.12/site-packages/azure/mgmt/datafactory/models/_models_py3.py:42556 SyntaxWarning: invalid escape sequence '\d'
[2025-06-06T10:09:22.190+0000] {logging_mixin.py:188} WARNING - /home/airflow/.local/lib/python3.12/site-packages/azure/mgmt/datafactory/models/_models_py3.py:42616 SyntaxWarning: invalid escape sequence '\d'
[2025-06-06T10:09:22.192+0000] {logging_mixin.py:188} WARNING - /home/airflow/.local/lib/python3.12/site-packages/azure/mgmt/datafactory/models/_models_py3.py:42899 SyntaxWarning: invalid escape sequence '\d'
[2025-06-06T10:09:22.195+0000] {logging_mixin.py:188} WARNING - /home/airflow/.local/lib/python3.12/site-packages/azure/mgmt/datafactory/models/_models_py3.py:42969 SyntaxWarning: invalid escape sequence '\d'
[2025-06-06T10:09:22.199+0000] {logging_mixin.py:188} WARNING - /home/airflow/.local/lib/python3.12/site-packages/azure/mgmt/datafactory/models/_models_py3.py:43484 SyntaxWarning: invalid escape sequence '\d'
[2025-06-06T10:09:22.201+0000] {logging_mixin.py:188} WARNING - /home/airflow/.local/lib/python3.12/site-packages/azure/mgmt/datafactory/models/_models_py3.py:43547 SyntaxWarning: invalid escape sequence '\d'
[2025-06-06T10:09:22.204+0000] {logging_mixin.py:188} WARNING - /home/airflow/.local/lib/python3.12/site-packages/azure/mgmt/datafactory/models/_models_py3.py:43712 SyntaxWarning: invalid escape sequence '\d'
[2025-06-06T10:09:22.206+0000] {logging_mixin.py:188} WARNING - /home/airflow/.local/lib/python3.12/site-packages/azure/mgmt/datafactory/models/_models_py3.py:43773 SyntaxWarning: invalid escape sequence '\d'
[2025-06-06T10:09:22.208+0000] {logging_mixin.py:188} WARNING - /home/airflow/.local/lib/python3.12/site-packages/azure/mgmt/datafactory/models/_models_py3.py:43814 SyntaxWarning: invalid escape sequence '\d'
[2025-06-06T10:09:22.210+0000] {logging_mixin.py:188} WARNING - /home/airflow/.local/lib/python3.12/site-packages/azure/mgmt/datafactory/models/_models_py3.py:43874 SyntaxWarning: invalid escape sequence '\d'
[2025-06-06T10:09:22.213+0000] {logging_mixin.py:188} WARNING - /home/airflow/.local/lib/python3.12/site-packages/azure/mgmt/datafactory/models/_models_py3.py:44244 SyntaxWarning: invalid escape sequence '\d'
[2025-06-06T10:09:22.216+0000] {logging_mixin.py:188} WARNING - /home/airflow/.local/lib/python3.12/site-packages/azure/mgmt/datafactory/models/_models_py3.py:44321 SyntaxWarning: invalid escape sequence '\d'
[2025-06-06T10:09:22.223+0000] {logging_mixin.py:188} WARNING - /home/airflow/.local/lib/python3.12/site-packages/azure/mgmt/datafactory/models/_models_py3.py:45435 SyntaxWarning: invalid escape sequence '\d'
[2025-06-06T10:09:22.225+0000] {logging_mixin.py:188} WARNING - /home/airflow/.local/lib/python3.12/site-packages/azure/mgmt/datafactory/models/_models_py3.py:45496 SyntaxWarning: invalid escape sequence '\d'
[2025-06-06T10:09:22.227+0000] {logging_mixin.py:188} WARNING - /home/airflow/.local/lib/python3.12/site-packages/azure/mgmt/datafactory/models/_models_py3.py:45537 SyntaxWarning: invalid escape sequence '\d'
[2025-06-06T10:09:22.229+0000] {logging_mixin.py:188} WARNING - /home/airflow/.local/lib/python3.12/site-packages/azure/mgmt/datafactory/models/_models_py3.py:45598 SyntaxWarning: invalid escape sequence '\d'
[2025-06-06T10:09:22.232+0000] {logging_mixin.py:188} WARNING - /home/airflow/.local/lib/python3.12/site-packages/azure/mgmt/datafactory/models/_models_py3.py:45639 SyntaxWarning: invalid escape sequence '\d'
[2025-06-06T10:09:22.236+0000] {logging_mixin.py:188} WARNING - /home/airflow/.local/lib/python3.12/site-packages/azure/mgmt/datafactory/models/_models_py3.py:45709 SyntaxWarning: invalid escape sequence '\d'
[2025-06-06T10:09:22.240+0000] {logging_mixin.py:188} WARNING - /home/airflow/.local/lib/python3.12/site-packages/azure/mgmt/datafactory/models/_models_py3.py:46041 SyntaxWarning: invalid escape sequence '\d'
[2025-06-06T10:09:22.242+0000] {logging_mixin.py:188} WARNING - /home/airflow/.local/lib/python3.12/site-packages/azure/mgmt/datafactory/models/_models_py3.py:46105 SyntaxWarning: invalid escape sequence '\d'
[2025-06-06T10:09:22.246+0000] {logging_mixin.py:188} WARNING - /home/airflow/.local/lib/python3.12/site-packages/azure/mgmt/datafactory/models/_models_py3.py:46148 SyntaxWarning: invalid escape sequence '\d'
[2025-06-06T10:09:22.249+0000] {logging_mixin.py:188} WARNING - /home/airflow/.local/lib/python3.12/site-packages/azure/mgmt/datafactory/models/_models_py3.py:46203 SyntaxWarning: invalid escape sequence '\d'
[2025-06-06T10:09:22.255+0000] {logging_mixin.py:188} WARNING - /home/airflow/.local/lib/python3.12/site-packages/azure/mgmt/datafactory/models/_models_py3.py:46588 SyntaxWarning: invalid escape sequence '\d'
[2025-06-06T10:09:22.257+0000] {logging_mixin.py:188} WARNING - /home/airflow/.local/lib/python3.12/site-packages/azure/mgmt/datafactory/models/_models_py3.py:46652 SyntaxWarning: invalid escape sequence '\d'
[2025-06-06T10:09:22.260+0000] {logging_mixin.py:188} WARNING - /home/airflow/.local/lib/python3.12/site-packages/azure/mgmt/datafactory/models/_models_py3.py:46695 SyntaxWarning: invalid escape sequence '\d'
[2025-06-06T10:09:22.263+0000] {logging_mixin.py:188} WARNING - /home/airflow/.local/lib/python3.12/site-packages/azure/mgmt/datafactory/models/_models_py3.py:46754 SyntaxWarning: invalid escape sequence '\d'
[2025-06-06T10:09:22.266+0000] {logging_mixin.py:188} WARNING - /home/airflow/.local/lib/python3.12/site-packages/azure/mgmt/datafactory/models/_models_py3.py:47079 SyntaxWarning: invalid escape sequence '\d'
[2025-06-06T10:09:22.269+0000] {logging_mixin.py:188} WARNING - /home/airflow/.local/lib/python3.12/site-packages/azure/mgmt/datafactory/models/_models_py3.py:47140 SyntaxWarning: invalid escape sequence '\d'
[2025-06-06T10:09:22.272+0000] {logging_mixin.py:188} WARNING - /home/airflow/.local/lib/python3.12/site-packages/azure/mgmt/datafactory/models/_models_py3.py:47482 SyntaxWarning: invalid escape sequence '\d'
[2025-06-06T10:09:22.275+0000] {logging_mixin.py:188} WARNING - /home/airflow/.local/lib/python3.12/site-packages/azure/mgmt/datafactory/models/_models_py3.py:47543 SyntaxWarning: invalid escape sequence '\d'
[2025-06-06T10:09:22.280+0000] {logging_mixin.py:188} WARNING - /home/airflow/.local/lib/python3.12/site-packages/azure/mgmt/datafactory/models/_models_py3.py:48231 SyntaxWarning: invalid escape sequence '\d'
[2025-06-06T10:09:22.282+0000] {logging_mixin.py:188} WARNING - /home/airflow/.local/lib/python3.12/site-packages/azure/mgmt/datafactory/models/_models_py3.py:48291 SyntaxWarning: invalid escape sequence '\d'
[2025-06-06T10:09:22.286+0000] {logging_mixin.py:188} WARNING - /home/airflow/.local/lib/python3.12/site-packages/azure/mgmt/datafactory/models/_models_py3.py:48679 SyntaxWarning: invalid escape sequence '\d'
[2025-06-06T10:09:22.288+0000] {logging_mixin.py:188} WARNING - /home/airflow/.local/lib/python3.12/site-packages/azure/mgmt/datafactory/models/_models_py3.py:48739 SyntaxWarning: invalid escape sequence '\d'
[2025-06-06T10:09:22.292+0000] {logging_mixin.py:188} WARNING - /home/airflow/.local/lib/python3.12/site-packages/azure/mgmt/datafactory/models/_models_py3.py:49390 SyntaxWarning: invalid escape sequence '\d'
[2025-06-06T10:09:22.294+0000] {logging_mixin.py:188} WARNING - /home/airflow/.local/lib/python3.12/site-packages/azure/mgmt/datafactory/models/_models_py3.py:49451 SyntaxWarning: invalid escape sequence '\d'
[2025-06-06T10:09:22.299+0000] {logging_mixin.py:188} WARNING - /home/airflow/.local/lib/python3.12/site-packages/azure/mgmt/datafactory/models/_models_py3.py:50196 SyntaxWarning: invalid escape sequence '\d'
[2025-06-06T10:09:22.301+0000] {logging_mixin.py:188} WARNING - /home/airflow/.local/lib/python3.12/site-packages/azure/mgmt/datafactory/models/_models_py3.py:50257 SyntaxWarning: invalid escape sequence '\d'
[2025-06-06T10:09:22.304+0000] {logging_mixin.py:188} WARNING - /home/airflow/.local/lib/python3.12/site-packages/azure/mgmt/datafactory/models/_models_py3.py:50502 SyntaxWarning: invalid escape sequence '\d'
[2025-06-06T10:09:22.306+0000] {logging_mixin.py:188} WARNING - /home/airflow/.local/lib/python3.12/site-packages/azure/mgmt/datafactory/models/_models_py3.py:50557 SyntaxWarning: invalid escape sequence '\d'
[2025-06-06T10:09:22.311+0000] {logging_mixin.py:188} WARNING - /home/airflow/.local/lib/python3.12/site-packages/azure/mgmt/datafactory/models/_models_py3.py:51076 SyntaxWarning: invalid escape sequence '\d'
[2025-06-06T10:09:22.314+0000] {logging_mixin.py:188} WARNING - /home/airflow/.local/lib/python3.12/site-packages/azure/mgmt/datafactory/models/_models_py3.py:51137 SyntaxWarning: invalid escape sequence '\d'
[2025-06-06T10:09:22.319+0000] {logging_mixin.py:188} WARNING - /home/airflow/.local/lib/python3.12/site-packages/azure/mgmt/datafactory/models/_models_py3.py:51552 SyntaxWarning: invalid escape sequence '\d'
[2025-06-06T10:09:22.322+0000] {logging_mixin.py:188} WARNING - /home/airflow/.local/lib/python3.12/site-packages/azure/mgmt/datafactory/models/_models_py3.py:51635 SyntaxWarning: invalid escape sequence '\d'
[2025-06-06T10:09:22.326+0000] {logging_mixin.py:188} WARNING - /home/airflow/.local/lib/python3.12/site-packages/azure/mgmt/datafactory/models/_models_py3.py:51694 SyntaxWarning: invalid escape sequence '\d'
[2025-06-06T10:09:22.328+0000] {logging_mixin.py:188} WARNING - /home/airflow/.local/lib/python3.12/site-packages/azure/mgmt/datafactory/models/_models_py3.py:51776 SyntaxWarning: invalid escape sequence '\d'
[2025-06-06T10:09:22.333+0000] {logging_mixin.py:188} WARNING - /home/airflow/.local/lib/python3.12/site-packages/azure/mgmt/datafactory/models/_models_py3.py:52399 SyntaxWarning: invalid escape sequence '\d'
[2025-06-06T10:09:22.335+0000] {logging_mixin.py:188} WARNING - /home/airflow/.local/lib/python3.12/site-packages/azure/mgmt/datafactory/models/_models_py3.py:52460 SyntaxWarning: invalid escape sequence '\d'
[2025-06-06T10:09:22.340+0000] {logging_mixin.py:188} WARNING - /home/airflow/.local/lib/python3.12/site-packages/azure/mgmt/datafactory/models/_models_py3.py:52839 SyntaxWarning: invalid escape sequence '\d'
[2025-06-06T10:09:22.343+0000] {logging_mixin.py:188} WARNING - /home/airflow/.local/lib/python3.12/site-packages/azure/mgmt/datafactory/models/_models_py3.py:52914 SyntaxWarning: invalid escape sequence '\d'
[2025-06-06T10:09:22.346+0000] {logging_mixin.py:188} WARNING - /home/airflow/.local/lib/python3.12/site-packages/azure/mgmt/datafactory/models/_models_py3.py:52968 SyntaxWarning: invalid escape sequence '\d'
[2025-06-06T10:09:22.349+0000] {logging_mixin.py:188} WARNING - /home/airflow/.local/lib/python3.12/site-packages/azure/mgmt/datafactory/models/_models_py3.py:53028 SyntaxWarning: invalid escape sequence '\d'
[2025-06-06T10:09:22.352+0000] {logging_mixin.py:188} WARNING - /home/airflow/.local/lib/python3.12/site-packages/azure/mgmt/datafactory/models/_models_py3.py:53304 SyntaxWarning: invalid escape sequence '\d'
[2025-06-06T10:09:22.355+0000] {logging_mixin.py:188} WARNING - /home/airflow/.local/lib/python3.12/site-packages/azure/mgmt/datafactory/models/_models_py3.py:53379 SyntaxWarning: invalid escape sequence '\d'
[2025-06-06T10:09:22.357+0000] {logging_mixin.py:188} WARNING - /home/airflow/.local/lib/python3.12/site-packages/azure/mgmt/datafactory/models/_models_py3.py:53433 SyntaxWarning: invalid escape sequence '\d'
[2025-06-06T10:09:22.360+0000] {logging_mixin.py:188} WARNING - /home/airflow/.local/lib/python3.12/site-packages/azure/mgmt/datafactory/models/_models_py3.py:53493 SyntaxWarning: invalid escape sequence '\d'
[2025-06-06T10:09:22.362+0000] {logging_mixin.py:188} WARNING - /home/airflow/.local/lib/python3.12/site-packages/azure/mgmt/datafactory/models/_models_py3.py:53533 SyntaxWarning: invalid escape sequence '\d'
[2025-06-06T10:09:22.365+0000] {logging_mixin.py:188} WARNING - /home/airflow/.local/lib/python3.12/site-packages/azure/mgmt/datafactory/models/_models_py3.py:53608 SyntaxWarning: invalid escape sequence '\d'
[2025-06-06T10:09:22.367+0000] {logging_mixin.py:188} WARNING - /home/airflow/.local/lib/python3.12/site-packages/azure/mgmt/datafactory/models/_models_py3.py:53662 SyntaxWarning: invalid escape sequence '\d'
[2025-06-06T10:09:22.369+0000] {logging_mixin.py:188} WARNING - /home/airflow/.local/lib/python3.12/site-packages/azure/mgmt/datafactory/models/_models_py3.py:53727 SyntaxWarning: invalid escape sequence '\d'
[2025-06-06T10:09:22.373+0000] {logging_mixin.py:188} WARNING - /home/airflow/.local/lib/python3.12/site-packages/azure/mgmt/datafactory/models/_models_py3.py:54007 SyntaxWarning: invalid escape sequence '\d'
[2025-06-06T10:09:22.376+0000] {logging_mixin.py:188} WARNING - /home/airflow/.local/lib/python3.12/site-packages/azure/mgmt/datafactory/models/_models_py3.py:54082 SyntaxWarning: invalid escape sequence '\d'
[2025-06-06T10:09:22.378+0000] {logging_mixin.py:188} WARNING - /home/airflow/.local/lib/python3.12/site-packages/azure/mgmt/datafactory/models/_models_py3.py:54136 SyntaxWarning: invalid escape sequence '\d'
[2025-06-06T10:09:22.380+0000] {logging_mixin.py:188} WARNING - /home/airflow/.local/lib/python3.12/site-packages/azure/mgmt/datafactory/models/_models_py3.py:54201 SyntaxWarning: invalid escape sequence '\d'
[2025-06-06T10:09:22.383+0000] {logging_mixin.py:188} WARNING - /home/airflow/.local/lib/python3.12/site-packages/azure/mgmt/datafactory/models/_models_py3.py:54462 SyntaxWarning: invalid escape sequence '\d'
[2025-06-06T10:09:22.386+0000] {logging_mixin.py:188} WARNING - /home/airflow/.local/lib/python3.12/site-packages/azure/mgmt/datafactory/models/_models_py3.py:54522 SyntaxWarning: invalid escape sequence '\d'
[2025-06-06T10:09:22.389+0000] {logging_mixin.py:188} WARNING - /home/airflow/.local/lib/python3.12/site-packages/azure/mgmt/datafactory/models/_models_py3.py:54773 SyntaxWarning: invalid escape sequence '\d'
[2025-06-06T10:09:22.393+0000] {logging_mixin.py:188} WARNING - /home/airflow/.local/lib/python3.12/site-packages/azure/mgmt/datafactory/models/_models_py3.py:54842 SyntaxWarning: invalid escape sequence '\d'
[2025-06-06T10:09:22.395+0000] {logging_mixin.py:188} WARNING - /home/airflow/.local/lib/python3.12/site-packages/azure/mgmt/datafactory/models/_models_py3.py:54890 SyntaxWarning: invalid escape sequence '\d'
[2025-06-06T10:09:22.399+0000] {logging_mixin.py:188} WARNING - /home/airflow/.local/lib/python3.12/site-packages/azure/mgmt/datafactory/models/_models_py3.py:54958 SyntaxWarning: invalid escape sequence '\d'
[2025-06-06T10:09:22.402+0000] {logging_mixin.py:188} WARNING - /home/airflow/.local/lib/python3.12/site-packages/azure/mgmt/datafactory/models/_models_py3.py:55216 SyntaxWarning: invalid escape sequence '\d'
[2025-06-06T10:09:22.406+0000] {logging_mixin.py:188} WARNING - /home/airflow/.local/lib/python3.12/site-packages/azure/mgmt/datafactory/models/_models_py3.py:55284 SyntaxWarning: invalid escape sequence '\d'
[2025-06-06T10:09:22.409+0000] {logging_mixin.py:188} WARNING - /home/airflow/.local/lib/python3.12/site-packages/azure/mgmt/datafactory/models/_models_py3.py:55472 SyntaxWarning: invalid escape sequence '\d'
